SG_PARTIDO,CD_TP_DOCUMENTO,DS_TP_DOCUMENTO,tipo_valor,valor
DC,#NULO#,#NULO#,total_gasto,124720.09
DC,0,BOLETO,total_gasto,74204.58
DC,1,CONTRATO,total_gasto,37324.64
DC,2,DOCUMENTO FISCAL,total_gasto,1499232.95
DC,3,FATURA,total_gasto,337329.14
DC,4,RECIBO,total_gasto,3023268.02
DC,5,OUTROS,total_gasto,78613.7
MDB,#NULO#,#NULO#,total_gasto,48525395.96
MDB,0,BOLETO,total_gasto,1721367.71
MDB,1,CONTRATO,total_gasto,2167779.05
MDB,2,DOCUMENTO FISCAL,total_gasto,30163252.68
MDB,3,FATURA,total_gasto,3765409.35
MDB,4,RECIBO,total_gasto,9455602.62
MDB,5,OUTROS,total_gasto,38830011.29
NOVO,#NULO#,#NULO#,total_gasto,1642461.53
NOVO,0,BOLETO,total_gasto,362937.98
NOVO,1,CONTRATO,total_gasto,25600.16
NOVO,2,DOCUMENTO FISCAL,total_gasto,12168473.31
NOVO,3,FATURA,total_gasto,1423110.86
NOVO,4,RECIBO,total_gasto,1991565.84
NOVO,5,OUTROS,total_gasto,1467653.15
PATRI,#NULO#,#NULO#,total_gasto,1689980
PATRI,0,BOLETO,total_gasto,89914.74
PATRI,1,CONTRATO,total_gasto,103714.56
PATRI,2,DOCUMENTO FISCAL,total_gasto,2436375.18
PATRI,3,FATURA,total_gasto,532032.03
PATRI,4,RECIBO,total_gasto,1878217.57
PATRI,5,OUTROS,total_gasto,1022605.39
PDT,#NULO#,#NULO#,total_gasto,16794088.96
PDT,0,BOLETO,total_gasto,335612.75
PDT,1,CONTRATO,total_gasto,769551.27
PDT,2,DOCUMENTO FISCAL,total_gasto,4944215.36
PDT,3,FATURA,total_gasto,12315437.02
PDT,4,RECIBO,total_gasto,5996650.43
PDT,5,OUTROS,total_gasto,10963253.55
PODE,#NULO#,#NULO#,total_gasto,275000
PODE,0,BOLETO,total_gasto,780319.83
PODE,1,CONTRATO,total_gasto,4293617.99
PODE,2,DOCUMENTO FISCAL,total_gasto,1520675.41
PODE,3,FATURA,total_gasto,693865.4
PODE,4,RECIBO,total_gasto,667130.43
PODE,5,OUTROS,total_gasto,2013586.3599999999
PPL,0,BOLETO,total_gasto,132871.55
PPL,1,CONTRATO,total_gasto,23573.72
PPL,2,DOCUMENTO FISCAL,total_gasto,1937867.51
PPL,3,FATURA,total_gasto,38791.4
PPL,4,RECIBO,total_gasto,105236.7
PPL,5,OUTROS,total_gasto,466958.82
PSDB,#NULO#,#NULO#,total_gasto,44916843.46
PSDB,0,BOLETO,total_gasto,1343024.34
PSDB,1,CONTRATO,total_gasto,764416.37
PSDB,2,DOCUMENTO FISCAL,total_gasto,42018106.13
PSDB,3,FATURA,total_gasto,6961304.56
PSDB,4,RECIBO,total_gasto,29849243.7
PSDB,5,OUTROS,total_gasto,9093482.4
PSL,#NULO#,#NULO#,total_gasto,882024.27
PSL,0,BOLETO,total_gasto,17753.99
PSL,1,CONTRATO,total_gasto,214776.77
PSL,2,DOCUMENTO FISCAL,total_gasto,3676649.85
PSL,3,FATURA,total_gasto,951337.63
PSL,4,RECIBO,total_gasto,3037065.46
PSL,5,OUTROS,total_gasto,944040.65
