SG_PARTIDO,CD_TP_ESFERA_PARTIDARIA,DS_TP_ESPERA_PARTIDARIA,total_gasto,total_pago,total_documento
DC,0,NACIONAL,4790692.18,4851013.1,4847525.46
DC,1,DISTRITAL,7926,7926,7926
DC,2,ESTADUAL,345068.76,347130.39,459368.42
DC,4,MUNICIPAL,31006.18,31208,31864.079999999998
MDB,0,NACIONAL,89967832.99,89982151.55,90731287.05
MDB,1,DISTRITAL,1452899.75,1457220.79,1481377.08
MDB,2,ESTADUAL,39348671.77,39358811.35,44946417.34
MDB,4,MUNICIPAL,3859414.15,3838329.34,4040154.18
NOVO,0,NACIONAL,12908841.78,13074429.65,13651353.17
NOVO,1,DISTRITAL,224664.52,232359.42,229561.87
NOVO,2,ESTADUAL,4435931.94,4449323.15,4726541.1
NOVO,4,MUNICIPAL,1512364.59,1515630.42,1945509.08
PATRI,0,NACIONAL,6838511.78,6859663.41,7774814.48
PATRI,2,ESTADUAL,370275.29,375819.42,371778.22
PATRI,4,MUNICIPAL,544052.4,546178.87,581129.23
PDT,0,NACIONAL,38652756.1,38665400.4,38656437.07
PDT,1,DISTRITAL,341600.72,341623.07,373138.54
PDT,2,ESTADUAL,8096121.41,8117625.21,8334082.32
PDT,4,MUNICIPAL,5028331.11,5049024.11,5488887.09
PODE,0,NACIONAL,8663061.41,5860044.46,8851800.43
PODE,2,ESTADUAL,1250281.36,1250915.52,1258180.35
PODE,4,MUNICIPAL,330852.65,329777.53,351959.25
PPL,0,NACIONAL,2651139.92,2625735.96,2676155.38
PPL,1,DISTRITAL,16089.88,16089.88,16224.92
PPL,2,ESTADUAL,37956.83,43501.08,98818.77
PPL,4,MUNICIPAL,113.07,113.07,113.07
PSDB,0,NACIONAL,93700239.63,93551601.63,94037014.71000001
PSDB,1,DISTRITAL,1121258.57,1127319.35,1143533.68
PSDB,2,ESTADUAL,34655863.89,34631400.94,NA
PSDB,4,MUNICIPAL,5469058.87,5507160.09,NA
PSL,0,NACIONAL,8592312.03,8669409.48,8590512.48
PSL,1,DISTRITAL,562.8,567.81,567.81
PSL,2,ESTADUAL,1075400.5,1087518.46,1089213.64
PSL,4,MUNICIPAL,55373.29,54807.49,55408.49
PSOL,0,NACIONAL,17220744.67,17144763.76,17501918.47
PSOL,1,DISTRITAL,161867.19,169387.09,161914.44
PSOL,2,ESTADUAL,5566949.63,5653597.27,6026846.59
PSOL,4,MUNICIPAL,481956.66,483520.68,650546.14
PSTU,0,NACIONAL,3296085.73,3315909.03,3330095.98
PSTU,1,DISTRITAL,33435.29,33435.29,33435.29
PSTU,2,ESTADUAL,301304,304280.3,303802.28
PSTU,4,MUNICIPAL,478190.24,482756.5,492988.2
PT,0,NACIONAL,139616542.84,139547621.7,145982471.04
PT,1,DISTRITAL,1479361.59,1485458.71,1479604.89
PT,2,ESTADUAL,43076126.02,39529649.87,46955590.46
PT,3,ZONAL,50163.28,50181.23,50163.28
PT,4,MUNICIPAL,6907966.95,6788337.82,7638494.47
REDE,0,NACIONAL,6415695.91,6424619.86,6686764.18
REDE,1,DISTRITAL,75210.78,75446.29,100932.07
REDE,2,ESTADUAL,1293848.77,1304605.37,1311242.61
REDE,4,MUNICIPAL,182622.57,180762.24,189723.8
