track_album_name,tipo_lancamento
HeeJin,solo
HeeJin,solo
HyunJin,solo
HyunJin,solo
HaSeul,solo
HaSeul,solo
YeoJin,solo
YeoJin,solo
YeoJin,solo
Love & Live,subunit
Love & Live,subunit
Love & Live,subunit
Love & Live,subunit
Love & Live,subunit
ViVi,solo
ViVi,solo
Love & Evil,subunit
Love & Evil,subunit
Love & Evil,subunit
Kim Lip,solo
Kim Lip,solo
JinSoul,solo
JinSoul,solo
Choerry,solo
Choerry,solo
Mix & Match,subunit
Mix & Match,subunit
Mix & Match,subunit
Mix & Match,subunit
Mix & Match,subunit
LOONATIC Eng. Ver.,subunit
Max & Match,subunit
Max & Match,subunit
Max & Match,subunit
Max & Match,subunit
Yves,solo
Yves,solo
"The Carol 2.0 (ViVi, Choerry, Yves)",subunit
Chuu,solo
Chuu,solo
Go Won,solo
Go Won,solo
Olivia Hye,solo
Olivia Hye,solo
beauty&thebeat,subunit
beauty&thebeat,subunit
beauty&thebeat,subunit
beauty&thebeat,subunit
beauty&thebeat,subunit
favOriTe,ot12
[+ +],ot12
[+ +],ot12
[+ +],ot12
[+ +],ot12
[+ +],ot12
[X X],ot12
[X X],ot12
[X X],ot12
[X X],ot12
[X X],ot12
[X X],ot12
